index,1851–1949,1851–1949.1
0,"1850s ""San Agapito"" (1851) ""Great Mobile"" (1852) Four (1853) ""Coastal"" (1854) ""Middle Gulf Shore"" (1855) ""Southeastern States"" (1856) Six (1859) 1860s ""San Narciso"" (1867) ""New England"" (1869) 1870s Four (1870) ""San Marcos"" (1870) Three (1871) ""Santa Juana"" (1871) ""Nova Scotia"" (1873) ""Central Florida"" (1873) ""Indianola"" (1875) ""San Felipe"" (1876) ""Cuba–South Florida"" (1876) Four (1877) Ten (1878) ""Great Beaufort"" (1879) ""Louisiana"" (1879) 1880s ""Pensacola"" (1882) Two (1883) ""Bahamas–North Carolina"" (1883) Two (1884) ""Cuba"" (1886) Seven (1886) ""Texas–Louisiana"" (1886) Six (1887) Seven (1887) ""Louisiana"" (1888) ""San Gil"" (1888) 1890s Three (1890) ""Martinique"" (1891) ""San Roque"" (1893) ""New York"" (1893) ""Sea Islands"" (1893) ""Great Charleston"" (1893) Three (1894) ""Greater Antilles"" (1894) ""Florida Panhandle"" (1894) ""San Ramón"" (1896) ""Cedar Keys"" (1896) Five (1896) 1900s Two (1900) ""Jamaica"" (1903) Four (1905) ""Mississippi"" (1906) ""Florida Keys"" (1906) Six (1908) ""Velasco"" (1909) ""Monterrey"" (1909) ""Grand Isle"" (1909) ""Key West"" (1909) 1910s ""Jamaica"" (1912) Three (1915) ""Gulf Coast"" (1916) ""Charleston"" (1916) Eleven (1916) ""Virgin Islands"" (1916) Three (1917) ""Louisiana"" (1918) 1920s Three (1921) Two (1922) Five (1923) Three (1924) ""Nova Scotia"" (1926) ""Louisiana"" (1926) ""Nova Scotia"" (1927) 1930s One (1930) ""Cuba–Bahamas"" (1933) Thirteen (1934) ""Mid-Atlantic"" (1936) Six (1937) Four (1938) 1940s ""Texas"" (1941) ""Florida"" (1941) ""Matagorda"" (1942) Four (1943) Four (1944) ""Texas"" (1945) Love (1947) Able (1948) Fox (1948) Four (1949)","1850s ""San Agapito"" (1851) ""Great Mobile"" (1852) Four (1853) ""Coastal"" (1854) ""Middle Gulf Shore"" (1855) ""Southeastern States"" (1856) Six (1859) 1860s ""San Narciso"" (1867) ""New England"" (1869) 1870s Four (1870) ""San Marcos"" (1870) Three (1871) ""Santa Juana"" (1871) ""Nova Scotia"" (1873) ""Central Florida"" (1873) ""Indianola"" (1875) ""San Felipe"" (1876) ""Cuba–South Florida"" (1876) Four (1877) Ten (1878) ""Great Beaufort"" (1879) ""Louisiana"" (1879) 1880s ""Pensacola"" (1882) Two (1883) ""Bahamas–North Carolina"" (1883) Two (1884) ""Cuba"" (1886) Seven (1886) ""Texas–Louisiana"" (1886) Six (1887) Seven (1887) ""Louisiana"" (1888) ""San Gil"" (1888) 1890s Three (1890) ""Martinique"" (1891) ""San Roque"" (1893) ""New York"" (1893) ""Sea Islands"" (1893) ""Great Charleston"" (1893) Three (1894) ""Greater Antilles"" (1894) ""Florida Panhandle"" (1894) ""San Ramón"" (1896) ""Cedar Keys"" (1896) Five (1896) 1900s Two (1900) ""Jamaica"" (1903) Four (1905) ""Mississippi"" (1906) ""Florida Keys"" (1906) Six (1908) ""Velasco"" (1909) ""Monterrey"" (1909) ""Grand Isle"" (1909) ""Key West"" (1909) 1910s ""Jamaica"" (1912) Three (1915) ""Gulf Coast"" (1916) ""Charleston"" (1916) Eleven (1916) ""Virgin Islands"" (1916) Three (1917) ""Louisiana"" (1918) 1920s Three (1921) Two (1922) Five (1923) Three (1924) ""Nova Scotia"" (1926) ""Louisiana"" (1926) ""Nova Scotia"" (1927) 1930s One (1930) ""Cuba–Bahamas"" (1933) Thirteen (1934) ""Mid-Atlantic"" (1936) Six (1937) Four (1938) 1940s ""Texas"" (1941) ""Florida"" (1941) ""Matagorda"" (1942) Four (1943) Four (1944) ""Texas"" (1945) Love (1947) Able (1948) Fox (1948) Four (1949)"
1,1850s,"""San Agapito"" (1851) ""Great Mobile"" (1852) Four (1853) ""Coastal"" (1854) ""Middle Gulf Shore"" (1855) ""Southeastern States"" (1856) Six (1859)"
2,1860s,"""San Narciso"" (1867) ""New England"" (1869)"
3,1870s,"Four (1870) ""San Marcos"" (1870) Three (1871) ""Santa Juana"" (1871) ""Nova Scotia"" (1873) ""Central Florida"" (1873) ""Indianola"" (1875) ""San Felipe"" (1876) ""Cuba–South Florida"" (1876) Four (1877) Ten (1878) ""Great Beaufort"" (1879) ""Louisiana"" (1879)"
4,1880s,"""Pensacola"" (1882) Two (1883) ""Bahamas–North Carolina"" (1883) Two (1884) ""Cuba"" (1886) Seven (1886) ""Texas–Louisiana"" (1886) Six (1887) Seven (1887) ""Louisiana"" (1888) ""San Gil"" (1888)"
5,1890s,"Three (1890) ""Martinique"" (1891) ""San Roque"" (1893) ""New York"" (1893) ""Sea Islands"" (1893) ""Great Charleston"" (1893) Three (1894) ""Greater Antilles"" (1894) ""Florida Panhandle"" (1894) ""San Ramón"" (1896) ""Cedar Keys"" (1896) Five (1896)"
6,1900s,"Two (1900) ""Jamaica"" (1903) Four (1905) ""Mississippi"" (1906) ""Florida Keys"" (1906) Six (1908) ""Velasco"" (1909) ""Monterrey"" (1909) ""Grand Isle"" (1909) ""Key West"" (1909)"
7,1910s,"""Jamaica"" (1912) Three (1915) ""Gulf Coast"" (1916) ""Charleston"" (1916) Eleven (1916) ""Virgin Islands"" (1916) Three (1917) ""Louisiana"" (1918)"
8,1920s,"Three (1921) Two (1922) Five (1923) Three (1924) ""Nova Scotia"" (1926) ""Louisiana"" (1926) ""Nova Scotia"" (1927)"
9,1930s,"One (1930) ""Cuba–Bahamas"" (1933) Thirteen (1934) ""Mid-Atlantic"" (1936) Six (1937) Four (1938)"
